,0
/m/1019828-star_is_born,25
/m/1019829-star_is_born,32
/m/1019831-star_is_born,17
/m/101_dalmatians,44
/m/101_dalmatians_ii_patchs_london_adventure,-1
/m/1020130-sting,52
/m/1020287-stranger,19
/m/1020333-streetcar_named_desire,60
/m/1020415-suddenly,7
/m/1020451-summer_school,10
/m/1020479-sundowners,9
/m/1020488-sunshine_boys,16
/m/1020659-suspect,15
/m/1020660-suspicion,34
/m/1020664-svengali,4
/m/1020684-sweet_bird_of_youth,18
/m/1020729-swing_time,31
/m/1020736-swiss_family_robinson,18
/m/1020814-tale_of_two_cities,11
/m/1020861-taming_of_the_shrew,19
/m/1020889-target,1
/m/1020897-tarzan_the_ape_man,2
/m/1021008-tempest,6
/m/1021014-ten_commandments,6
/m/1021015-ten_commandments,25
/m/1021067-terror,10
/m/1021128-that_championship_season,3
/m/1021186-them,17
/m/1021211-shivers,15
/m/1021214-they_drive_by_night,27
/m/1021230-thief,28
/m/1021242-thing,35
/m/1021244-thing,45
/m/1021262-thirst,4
/m/1021269-this_gun_for_hire,9
/m/1021312-three_amigos,11
/m/1021339-three_musketeers,8
/m/1021340-three_musketeers,12
/m/1021500-time_machine,32
/m/1021648-tommy,17
/m/1021681-toolbox_murders,3
/m/1021699-top_secret,22
/m/1021721-torso,7
/m/1021749-touch_of_evil,71
/m/1021765-tough_guys,10
/m/1021963-treasure_island,4
/m/1021964-treasure_island,6
/m/1022001-trial,35
/m/1022024-trip,9
/m/1022172-twelve_oclock_high,25
/m/1022314-uncommon_valor,6
/m/1022315-undefeated,7
/m/1022369-unfaithfully_yours,15
/m/1022537-venom,2
/m/1022570-vice_versa,9
/m/1022576-victory,10
/m/1022823-village_of_the_damned,24
/m/1023205-warriors,28
/m/1023286-were_no_angels,13
/m/1023316-weird_science,9
/m/1023461-when_a_stranger_calls,2
/m/1023508-where_the_boys_are,8
/m/1023543-white_christmas,27
/m/1023739-winchester_73,24
/m/1023854-witness,45
/m/1023900-womans_face,5
